epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.6675,1.93953,0.42157,0.9387,1.53675,0.00332591,0.00332591,0.00332591
2,46.8494,1.5428,0.52494,0.97409,1.32819,0.00663287,0.00663287,0.00663287
3,68.4953,1.79954,0.42129,0.92923,39.3775,0.00991343,0.00991343,0.00991343
4,90.4152,2.34454,0.47019,0.96322,1.37222,0.0098812,0.0098812,0.0098812
5,111.909,1.36919,0.53678,0.97381,1.20271,0.0098416,0.0098416,0.0098416
6,134.481,1.24213,0.58192,0.9844,1.09095,0.009802,0.009802,0.009802
7,156.088,1.18816,0.5978,0.98718,1.04185,0.0097624,0.0097624,0.0097624
8,177.835,1.1465,0.6102,0.98774,1.03373,0.0097228,0.0097228,0.0097228
9,199.743,1.1173,0.62385,0.98621,1.00242,0.0096832,0.0096832,0.0096832
10,221.699,1.09586,0.61995,0.98718,1.00236,0.0096436,0.0096436,0.0096436
11,243.463,1.07743,0.63291,0.98955,0.98545,0.009604,0.009604,0.009604
12,265.515,1.05793,0.64865,0.9883,0.95322,0.0095644,0.0095644,0.0095644
13,287.471,1.0521,0.64739,0.98913,0.94808,0.0095248,0.0095248,0.0095248
14,309.061,1.03194,0.65004,0.98885,0.93801,0.0094852,0.0094852,0.0094852
15,330.482,1.0189,0.66007,0.99025,0.92362,0.0094456,0.0094456,0.0094456
16,351.861,1.01827,0.65854,0.98927,0.9245,0.009406,0.009406,0.009406
17,373.627,1.0082,0.66509,0.98997,0.90207,0.0093664,0.0093664,0.0093664
18,395.135,0.99445,0.66899,0.99122,0.89364,0.0093268,0.0093268,0.0093268
19,416.639,0.98776,0.674,0.99178,0.88787,0.0092872,0.0092872,0.0092872
20,438.665,0.98642,0.67094,0.99053,0.89042,0.0092476,0.0092476,0.0092476
21,460.301,0.98281,0.68097,0.99094,0.88313,0.009208,0.009208,0.009208
22,481.911,0.96359,0.67972,0.98941,0.8893,0.0091684,0.0091684,0.0091684
23,503.367,0.95752,0.68208,0.98997,0.87934,0.0091288,0.0091288,0.0091288
24,525.367,0.95993,0.68891,0.99094,0.85185,0.0090892,0.0090892,0.0090892
25,547.026,0.95651,0.6871,0.99053,0.86917,0.0090496,0.0090496,0.0090496
26,568.895,0.94619,0.68431,0.98983,0.85843,0.00901,0.00901,0.00901
27,590.74,0.93536,0.68278,0.99164,0.85023,0.0089704,0.0089704,0.0089704
28,612.667,0.93856,0.68975,0.99136,0.84591,0.0089308,0.0089308,0.0089308
29,634.653,0.93861,0.69309,0.9915,0.84408,0.0088912,0.0088912,0.0088912
30,656.171,0.92227,0.69267,0.99178,0.84586,0.0088516,0.0088516,0.0088516
31,677.45,0.92097,0.69685,0.99164,0.8453,0.008812,0.008812,0.008812
32,698.93,0.91858,0.69852,0.9915,0.84084,0.0087724,0.0087724,0.0087724
33,720.405,0.91497,0.69894,0.99108,0.83242,0.0087328,0.0087328,0.0087328
34,742.008,0.91489,0.69838,0.99122,0.83142,0.0086932,0.0086932,0.0086932
35,763.447,0.90547,0.70047,0.99164,0.83177,0.0086536,0.0086536,0.0086536
36,784.888,0.89698,0.70033,0.99178,0.82656,0.008614,0.008614,0.008614
37,806.504,0.88589,0.7002,0.99206,0.82651,0.0085744,0.0085744,0.0085744
38,827.999,0.8862,0.70201,0.99192,0.82846,0.0085348,0.0085348,0.0085348
39,849.442,0.88282,0.69922,0.99248,0.82544,0.0084952,0.0084952,0.0084952
40,869.188,0.88078,0.70061,0.99248,0.81749,0.0084556,0.0084556,0.0084556
41,889.091,0.87882,0.70089,0.99262,0.82142,0.008416,0.008416,0.008416
42,908.812,0.86146,0.70075,0.99262,0.8188,0.0083764,0.0083764,0.0083764
43,928.232,0.86258,0.70215,0.99248,0.82091,0.0083368,0.0083368,0.0083368
44,947.667,0.8644,0.70312,0.99276,0.81108,0.0082972,0.0082972,0.0082972
45,967.936,0.85661,0.70368,0.99276,0.82228,0.0082576,0.0082576,0.0082576
46,987.334,0.84532,0.7034,0.99248,0.80676,0.008218,0.008218,0.008218
47,1006.89,0.84755,0.70465,0.99234,0.81272,0.0081784,0.0081784,0.0081784
48,1026.21,0.83872,0.70396,0.99234,0.81904,0.0081388,0.0081388,0.0081388
49,1045.26,0.84133,0.70368,0.99248,0.82144,0.0080992,0.0080992,0.0080992
50,1064.35,0.83335,0.70465,0.99234,0.81175,0.0080596,0.0080596,0.0080596
51,1083.62,0.82412,0.7041,0.99234,0.81211,0.00802,0.00802,0.00802
52,1103.07,0.82561,0.70451,0.99234,0.81437,0.0079804,0.0079804,0.0079804
